response,round,id
Logo : Game on a log,1,0
Je propose qu'on mette les couleurs lesbiennes parce que l'abbréviation de notre truc est LB,1,1
"Logo : Dés simplifiés imbriqués formant les lettres ""GGL"". Titre : ""GetGameLogged"" en lettres majuscules stylisées. Charte : Palette néon (rose, turquoise, mauve), interface à thème sombre et minimaliste.",2,2
Couleur; porple,1,3
"Logo LB écrit en blanc sur un fond noir. Sobre, simple et esthétique,un truc qui mélange les deux lettres en vrai",2,4
"Logo : Un avatar stylisé tenant une manette. Titre : ""GetGameLogged"" en polices futuristes et ludiques. Charte : Tons pastel (turquoise, magenta, citron), mise en page minimaliste avec éléments graphiques interactifs.",2,5
Titre: Trackez vos sessions de jeu,3,6
"Logo dynamique évoquant une manette/graphique, titre moderne ""GetGameLogged"", charte graphique avec des couleurs vives (bleu, vert) et une typographie futuriste pour une interface intuitive et engageante.",3,7
"Logo : une manette stylisée intégrant un graphique en barre. Charte graphique : nuances de bleu et vert pour refléter le gaming et l'analyse. Titre : ""GetGameLogged"" en typo moderne et épurée.",3,8
"Identité : Logo avec une manette et des graphiques stylisés, titre ""GetGameLogged"" en typographie moderne, couleurs vives (bleu et orange) pour dynamisme, charte graphique axée sur la clarté.",3,9
Je propose qu'on fasse un logo bien dégeu,1,10
"charte graphique; bichrome prople orange
,ça ressemble a gruvbox ça",2,11
"Logo: Un joystick rétro intégré dans un graphique en montée. Titre: ""GetGameLogged"" en typographie pixel art. Charte: Palette fluide violet, cyan et jaune, design vibrant évoquant nostalgie et modernité.",2,12
"Logo : Une icône de joystick pixel art avec une flèche montante. Titre : ""GetGameLogged"" dans une police néon futuriste. Charte : Palette rétro-futuriste (cyan, magenta, jaune), design inspiré des années 80.",2,13
La charte graphique sera assez simple est épurée,1,14
Titre; Manager vos jeux de plateaux,1,15
"Logo : Manette stylisée avec une courbe de progression. Titre : ""GetGameLogged"" en police moderne. Charte : Couleurs vives et dynamiques (bleu, vert, orange), avec icônes et graphiques épurés.",1,16
"Je propose qu'on mette les couleurs lesbiennes parce que l'abbréviation de notre truc est LB,oui",3,17
logo: les lettres mélangées,1,18
"Logo : Une manette stylisée avec un graphique en croissance.  
Titre : GetGameLogged.  
Charte : Palette énergique (bleu, vert, rouge), typographie moderne, interface sombre avec des accents lumineux pour des statistiques claires.",1,19
"Logo : une manette stylisée intégrant un graphique croissant. Titre : ""GetGameLogged"". Couleurs : bleu et noir. Charte : Moderne avec typographie épurée, mettant l'accent sur la data.",3,20
"Logo : une manette stylisée avec un graphique montant. Titre : GetGameLogged en typo pixelisée. Charte : palette de couleurs sombres avec accents néon, icônes épurées et interface intuitive.",3,21
"Logo LB écrit en blanc sur un fond noir. Sobre, simple et esthétique,un truc qui mélange les deux lettres en vrai,je pense que cette idée est pertinenete",3,22
"Logo moderne avec manette stylisée, couleurs vives (bleu et orange), typographie épurée. Charte graphique dynamique pour attirer les gamer·euse·s. Titre : GetGameLogged, sous-titre : Explore Your Gaming Journey.",3,23
"Logo: Une manette stylisée intégrée à un graphique croissant. Titre: GetGameLogged en police moderne. Charte: Palette de couleurs dynamiques (bleu, vert, orange) pour imager l'énergie du gaming.",3,24
"charte graphique; bichrome prople orange
,ça ressemble a gruvbox ça,gruvbox good, mais manque la daronne à Maillard",3,25
"Proposition visuelle pour GetGameLogged : Logo stylisé en pixels évoquant un joystick, palette de couleurs vives (bleu, vert, violet), typographie rétro moderne pour transmettre une ambiance gaming dynamique.",3,26
"Logo moderne avec une manette stylisée, couleurs vives bleu et orange, police audacieuse. Thème visuel : interface épurée et dynamique, icônes minimalistes pour une navigation intuitive.",3,27
"Titre; Manager vos jeux de plateaux,c'est trop long est pas assez catchy",3,28
"Logo : Manette pixelisée avec GGL stylisé.  
Titre : GetGameLogged - Suivez vos stats de jeu.  
Charte : Palette dynamique (bleu, rouge, vert), typographie moderne, design épuré avec icônes gaming intègrées.",3,29
"Logo dynamique de manette, titre ""GetGameLogged"" en police moderne et audacieuse. Charte graphique : couleurs vives (rouge, bleu, vert), icônes épurées, interface claire et intuitive.",1,30
"Logo : Game on a log,genre le log le truc de math ?",3,31
"Logo vibrant avec une manette stylée entourée de triangles colorés. Titre ""GetGameLogged"" en typographie moderne. Charte graphique en noir, orange et violet pour un look dynamique et interactif.",3,32
"Logo dynamique avec une manette stylisée. Titre: ""GetGameLogged"" en typographie pixel. Charte: palettes néon (arcade rétro), éléments UI semi-transparents, animations fluides et icônes gaming intuitives.",3,33
"Propose un logo épuré avec un dé gradé bleu-violet, un titre audacieux ""GetGameLogged"", et une charte graphique moderne alliant noir, blanc et lavande pour une esthétique immersive et tech.",1,34
GetGlyphed,3,35
"Un logo dynamique avec une manette et des barres de statistiques, le titre ""GetGameLogged"", charte graphique vibrante avec des teintes de vert et de bleu, police moderne, accent sur l'interactivité et les données.",3,36
"charte graphique; bichrome prople orange
",2,37
"Logo : une manette stylisée formant un ""G"". Charte graphique : palette de bleu nuit et orange vif pour contrastes. Titre du site : moderne avec une police dynamique évoquant le jeu et la statistique.",3,38
"GetGlyphed,o no, not again",3,39
"Logo LB écrit en blanc sur un fond noir. Sobre, simple et esthétique",2,40
"Logo : Un joystick intégré dans une cellule de base de données.  
Titre : ""GetGameLogged"" en police futuriste.  
Charte : Tons de pastel éclatants (turquoise, corail) et interface minimaliste pour une navigation fluide.",2,41
"Logo : Un joystick vintage intégré dans un graphique circulaire. Titre : ""GetGameLogged"" en typographie néo-rétro. Charte : Couleurs neo-pastel (rose, mint, jaune), design airé avec symboles minimalistes.",2,42
"Logo : Une console de jeu encerclée par des flèches. Titre : ""GetGameLogged"", en style graffiti moderne. Charte : Couleurs néon (cyan, magenta, jaune), typographie urbaine, interface interactive.",2,43
"Logo : une pile de livres en forme de jeux vidéo. Titre : ""GetGameLogged"" en lettrage stylisé pixel art. Charte : Tons rétro (orange, jaune, marron), typographie inspirée des années 80 pour une touche nostalgique.",2,44
"Logo : Game on a log,log?",2,45
"Logo : Silhouette de joystick intégrée dans un motif de réseau.  
Titre : ""GetGameLogged"" en lettres larges et futuristes.  
Charte : Teintes métalliques (argent, or), typographie innovante, interface néon sur fond sombre pour une navigation immersive.",2,46
"Couleur; porple,Je pense que cette idée est écrive faux",2,47
"Logo : Icône de console ouverte avec des éclats lumineux. Titre : ""GetGameLogged"" avec une typographie énergique. Charte : Ton pastel doux (rose, bleu, mint), interface minimaliste avec visuels interactifs.",2,48
"Logo : Une manette combinée à une horloge pour illustrer les données de jeu. Titre : ""GetGameLogged"" en caractères pixel art. Charte : Palette rétro (violet, orange, turquoise), interface ludique et convivial.",2,49
"Je propose qu'on mette les couleurs lesbiennes parce que l'abbréviation de notre truc est LB,Avec un game on a log",2,50
"Logo : Deux dés s'emboîtant avec un motif de pixel. Titre : ""GetGameLogged"" en typographie pixelisée. Charte : Nuancier rétro (turquoise, magenta, jaune), design minimaliste avec accents technologiques.",2,51
"Logo : un contrôleur de jeu stylisé formant les lettres GGL. Titre : GetGameLogged. Charte : palette audacieuse de rouge, noir et blanc avec une typographie moderne et claire pour l'intuitivité.",3,52
"Logo moderne avec une manette stylisée intégrant les lettres ""GGL"". Charte graphique: palette bleu/vert pour la technologie et le jeu, typographie sans-serif épurée. Titre: GetGameLogged - Stats & Connexion.",3,53
