response,parentId,round,id,votes
"Accueil: bannière attrayante, barre de recherche, top jeux, profils en vedette, widget stats, avis utilisateurs, accès rapide à la librairie, sections pour actus jeux et intégration API intuitive.,Je pense que la bannière doit être déguelasse, les jeux cherchables uniquement par image et l'api mal intégrée",cea3e293-1358-4630-a8eb-6772e9968635,3,0,3
"La daronne à Maillard,gratuite pour tout le monde",f67747be-428a-4013-995f-0a4416e7e44f,1,1,2
il faut aussi des boutons rapides pour faire les actions rapidement,,3,2,2
"La daronne à Maillard,gratuite pour tout le monde,+1",317367ce-d390-4996-9c0e-13222ebd3b44,1,3,1
La liste des Jeux complet,,1,4,1
"le logo,il sera très beau",243cae95-ce74-4470-8f8b-37060a908f5a,1,5,1
"Un truc genre ""Hot games"" genre Trendings sur youtube mais avec les jeux,oh oui et des thumbnails putaclic",21ddaad5-596b-4754-bac5-6f8808a6e774,2,6,1
"UN SYSTEME DE KARMA GENRE UPVOTE DOWNVOTE DES JEUX OMG,uio,oiu",eebdc97e-5edd-42c6-a58d-1f662d91e2fe,3,7,1
le logo,,1,8,0
"Inclure : Logo, barre de recherche de jeux, sélections populaires, profil joueur, bouton ""Ajouter un jeu"", statistiques personnalisées, et aperçu des performances. ",,1,9,0
La liste des jeux populaires,,1,10,0
"Accueil: bannière attrayante, barre de recherche, top jeux, profils en vedette, widget stats, avis utilisateurs, accès rapide à la librairie, sections pour actus jeux et intégration API intuitive.",,1,11,0
"En-tête attractif, barre de recherche, section ""Jeux populaires"", profils joueurs à la une, statistiques clés, accès rapide à la librairie de jeux, CTA ""Ajouter un jeu"", et connexion utilisateur.",,1,12,0
"Page d'accueil: présentation de la plateforme, zone de connexion/inscription, moteur de recherche, jeux populaires, joueurs en vogue, teaser visuel des fonctionnalités analytiques et section mises à jour.",,1,13,0
"La daronne à Maillard,gratuite pour tout le monde,approved
",317367ce-d390-4996-9c0e-13222ebd3b44,1,14,0
La daronne à Maillard,,1,15,0
"Page d'accueil : un moteur de recherche de jeux, des profils de joueur·euse·s mis en avant, les tendances de jeux actuelles, une section stat et perfs, et un bouton pour ajouter de nouveaux jeux.",,1,16,0
une page d'acceuil,,1,17,0
"Page d'accueil : Banner accrocheuse, barre de recherche, aperçu des jeux populaires, stats joueurs, filtrage par genre/plateforme, graphiques interactifs et une section d'actualités sur les sorties.",,1,18,0
"Page d'accueil : barre de recherche, jeux suggérés, profils en vedette, vue rapide des stats globales, actus gaming, section actus de GetGameLogged, connexion/inscription, et menu de navigation simplifié.",,1,19,0
"Inclure une barre de recherche, un flux des jeux populaires, accès rapide à la librairie personnelle, statistiques personnalisées, et une section ""à découvrir"" pour engager des recommanddations dynamiques.",,1,20,0
"Page d'accueil : accueil, recherche, profil utilisateur, top jeux, stats utilisateur, actus, intégrer API, ajout jeux custom, interface conviviale, responsive, rapide et sécurisée.",,1,21,0
"Page d'accueil : barre de recherche, nouveautés, jeux en tendance, profil utilisateur, stats persos, ajout de jeu, section amis, classement des joueurs, aperçus visuels, info performance.",,1,22,0
"<script>alert(""hello"")</script>",,1,23,0
"<script>alert(""hello"")</script>,ça me parait bien",b42bfa34-e055-44bc-a28d-93fd524e19f9,1,24,0
"une page d'acceuil,oui",8790bab1-d97e-496f-ac2a-b2928e291685,1,25,0
